AU,2014291840
AU2014291840
BR,BR1120120177036
BR1120120177036
CN,101542412B
CN,104517004
CN,104809024
CN,104853195
CN,104899004
CN,104899181
CN,104933749
CN,105005538
CN,105022607
CN,105158680
CN,105159844
CN,105242963
CN,105247485
CN,105260334
CN,105320491
CN,105404559
CN,105404884
CN,105453137
CN,105468331
CN,105474174
CN,105528756
CN,105573712
CN,105593808
CN,105612697
CN,105684482A
CN,105684483A
CN,105706342
CN,105786744
CN,105794093
CN,105849740A
CN,105900076
CN,105938456
CN,105938459
CN,105938460
CN,105960630
CN,105980993
CN,105980994
CN,106021131
CN,106055448
CN,106055467
CN,106066831
CN,106068497
CN,106096460
CN,106100827
CN,106102291
CN,106126441
CN,106155636
CN,106201919
CN,106227674
CN,106233730A
CN,106250098
CN,106250347
CN,106257412
CN,106257436
CN,106371898
CN,106371966
CN,106373083A
CN,106408504A
CN,106411843
CN,106415512
CN,106447593A
CN,106462508A
CN,106462674A
CN,106464732A
CN,1064662715
CN,106506440A
CN,106534867
CN,106537329
CN,106537342
CN,106537362
CN,106547587
CN,106663026
CN,106663057
CN,106688027
CN,106688173
CN,106716348
CN,106716561
CN,106716818
CN,106797318A
CN,106897230
CN,106970776
CN,106990939
CN,106990941
CN,107003855
CN,107003896
CN,107003898
CN,107003909A
CN,107015922
CN,107066396
CN,107077322
CN,107077323
CN,107077384
CN,107077415
CN,107077416
CN,107077417
CN,107111488
CN,107111525
CN,107111537
CN,107122128
CN,107153455
CN,107342874A
CN,107423235
CN,107436821
CN,107451019
CN,107463242
CN,107506315A
CN,107527643
CN,107527660
CN,107533352
CN,107533353
CN,107544658
CN,107544923
CN,107566296
CN,107577593
CN,107580697
CN,107580773A
CN,107646107
CN,107667344
CN,107690621
CN,107690628
CN,107690629
CN,107710152
CN,107735768
CN,107735775
CN,107735791
CN,107743613
CN,107769791
CN,107771323
CN,107797873
CN,107797920
CN,107798159
CN,107817966
CN,107818044
CN,107851007
CN,107851012
CN,107851013
CN,107851014
CN,107851015
CN,107851016
CN,107851017
CN,107851018
CN,107851019
CN,107851021
CN,107851022
CN,107852183
CN,107924366
CN,108027762
CN,108093192A
CN,108139885
CN,108139906
CN,108139907
CN,108139908
CN,108139909
CN,108139910
CN,108140011
CN,108141418
CN,108153513
CN,108153683
CN,108154054
CN,108205510
CN,108228485
CN,108292272
CN,108319559
CN,108334304
CN,108345534
CN,108351761
CN,108351762
CN,108351763
CN,108351776
CN,108351935
CN,108369557
CN,108415788
CN,108415861
CN,108415873
CN,108446239
CN,108459877
CN,108459975
CN,108463801
CN,108463808
CN,108463810
CN,108463811
CN,108475195
CN,108475236
CN,108491351
CN,108536474
CN,108604271
CN,108628637
CN,108630284
CN,108633308
CN,108694037
CN,108694094
CN,108701031
CN,108701174
CN,108733345
CN,108733413
CN,108733602
CN,108735267
CN,108780395
CN,108780396
CN,108780397
CN,108834427
CN,1315099
CN,200510067702.2
CN,201010178234.7
CN,CN 104281639A
CN,CN 104966265 A
CN,CN 105046736 A
CN,CN 105049745 A
CN,CN 105162182 A
CN,CN 105206301 A
CN,CN 105278904 A
CN,CN 105320470 A
CN,CN 105320608
CN,CN 105446898
CN,CN 105579961 A
CN,CN 105765536
CN,CN 105827896 A
CN,CN 106104483 A
CN,CN 106254877 A
CN,CN 106327420 A
CN,CN 106355544 A
CN,CN 106372007
CN,CN 106408505 A
CN,CN 107015778 A
CN,CN 107038739 A
CN,CN 107204922
CN,CN 107222747 A
CN,CN 107278296
CN,CN 107278298
CN,CN100422926
CN,CN100437467
CN,CN101238425
CN,CN101375228
CN,CN101395573
CN,CN101523359
CN,CN101542430
CN,CN101558388
CN,CN101802790
CN,CN101802796
CN,CN101802798
CN,CN104572479
CN,CN104572480
CN,CN104636270
CN,CN105023233A
CN,CN105320607
CN,CN105321199A
